"season","season_week","week_start_date","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","total_cases"
"2000/2001",1,"2000-07-01",0,0,0,0,0,0
"2000/2001",2,"2000-07-08",0,0,0,0,0,0
"2000/2001",3,"2000-07-15",0,0,0,0,0,0
"2000/2001",4,"2000-07-22",0,0,0,0,0,0
"2000/2001",5,"2000-07-29",0,0,0,0,0,0
"2000/2001",6,"2000-08-05",0,0,0,0,0,0
"2000/2001",7,"2000-08-12",0,0,0,0,0,0
"2000/2001",8,"2000-08-19",0,0,0,0,0,0
"2000/2001",9,"2000-08-26",0,0,0,0,0,0
"2000/2001",10,"2000-09-02",0,0,0,0,0,0
"2000/2001",11,"2000-09-09",0,0,0,0,1,1
"2000/2001",12,"2000-09-16",0,0,0,0,0,0
"2000/2001",13,"2000-09-23",0,0,0,0,0,0
"2000/2001",14,"2000-09-30",0,0,0,0,0,0
"2000/2001",15,"2000-10-07",0,0,0,0,0,0
"2000/2001",16,"2000-10-14",0,0,0,0,1,1
"2000/2001",17,"2000-10-21",0,0,0,0,1,1
"2000/2001",18,"2000-10-28",0,0,0,0,0,0
"2000/2001",19,"2000-11-04",0,0,0,0,0,0
"2000/2001",20,"2000-11-11",0,0,0,0,0,0
"2000/2001",21,"2000-11-18",0,0,0,0,0,0
"2000/2001",22,"2000-11-25",0,0,0,0,0,0
"2000/2001",23,"2000-12-02",0,0,0,0,0,0
"2000/2001",24,"2000-12-09",0,0,0,0,0,0
"2000/2001",25,"2000-12-16",0,0,0,0,1,1
"2000/2001",26,"2000-12-23",0,0,0,0,0,0
"2000/2001",27,"2001-01-01",0,0,0,0,0,0
"2000/2001",28,"2001-01-08",0,0,0,0,0,0
"2000/2001",29,"2001-01-15",0,0,0,0,0,0
"2000/2001",30,"2001-01-22",0,0,0,0,0,0
"2000/2001",31,"2001-01-29",0,0,0,0,0,0
"2000/2001",32,"2001-02-05",0,0,0,0,0,0
"2000/2001",33,"2001-02-12",0,0,0,0,0,0
"2000/2001",34,"2001-02-19",0,0,0,0,0,0
"2000/2001",35,"2001-02-26",0,0,0,0,0,0
"2000/2001",36,"2001-03-05",0,0,0,0,0,0
"2000/2001",37,"2001-03-12",0,0,0,0,0,0
"2000/2001",38,"2001-03-19",0,0,0,0,0,0
"2000/2001",39,"2001-03-26",0,0,0,0,0,0
"2000/2001",40,"2001-04-02",0,0,0,0,0,0
"2000/2001",41,"2001-04-09",0,0,0,0,0,0
"2000/2001",42,"2001-04-16",0,0,0,0,1,1
"2000/2001",43,"2001-04-23",0,0,0,0,0,0
"2000/2001",44,"2001-04-30",0,0,0,0,0,0
"2000/2001",45,"2001-05-07",0,0,0,0,0,0
"2000/2001",46,"2001-05-14",0,0,0,0,0,0
"2000/2001",47,"2001-05-21",0,0,0,0,1,1
"2000/2001",48,"2001-05-28",1,0,0,0,0,1
"2000/2001",49,"2001-06-04",0,0,0,0,0,0
"2000/2001",50,"2001-06-11",0,0,0,0,0,0
"2000/2001",51,"2001-06-18",0,0,0,0,1,1
"2000/2001",52,"2001-06-25",0,0,0,0,0,0
"2001/2002",1,"2001-07-02",0,0,0,0,0,0
"2001/2002",2,"2001-07-09",0,0,0,0,0,0
"2001/2002",3,"2001-07-16",0,0,0,0,0,0
"2001/2002",4,"2001-07-23",0,0,0,0,0,0
"2001/2002",5,"2001-07-30",0,0,0,0,0,0
"2001/2002",6,"2001-08-06",0,0,0,0,0,0
"2001/2002",7,"2001-08-13",0,0,0,0,0,0
"2001/2002",8,"2001-08-20",0,0,0,0,0,0
"2001/2002",9,"2001-08-27",0,0,0,0,0,0
"2001/2002",10,"2001-09-03",0,0,0,0,0,0
"2001/2002",11,"2001-09-10",0,0,0,0,0,0
"2001/2002",12,"2001-09-17",0,0,0,0,0,0
"2001/2002",13,"2001-09-24",0,0,0,0,0,0
"2001/2002",14,"2001-10-01",0,0,0,0,0,0
"2001/2002",15,"2001-10-08",0,0,0,0,0,0
"2001/2002",16,"2001-10-15",0,0,0,0,0,0
"2001/2002",17,"2001-10-22",0,0,0,0,0,0
"2001/2002",18,"2001-10-29",0,0,0,0,0,0
"2001/2002",19,"2001-11-05",0,0,0,0,0,0
"2001/2002",20,"2001-11-12",0,0,0,0,0,0
"2001/2002",21,"2001-11-19",0,0,0,0,1,1
"2001/2002",22,"2001-11-26",0,0,0,0,1,1
"2001/2002",23,"2001-12-03",0,0,1,0,0,1
"2001/2002",24,"2001-12-10",1,0,0,0,1,2
"2001/2002",25,"2001-12-17",2,0,0,0,2,4
"2001/2002",26,"2001-12-24",0,0,0,0,1,1
"2001/2002",27,"2002-01-01",2,0,1,0,1,4
"2001/2002",28,"2002-01-08",5,0,3,0,3,11
"2001/2002",29,"2002-01-15",4,0,7,0,5,16
"2001/2002",30,"2002-01-22",7,1,5,0,10,23
"2001/2002",31,"2002-01-29",8,2,1,0,1,12
"2001/2002",32,"2002-02-05",3,1,1,0,9,14
"2001/2002",33,"2002-02-12",7,1,3,0,7,18
"2001/2002",34,"2002-02-19",3,0,2,0,3,8
"2001/2002",35,"2002-02-26",2,0,2,0,3,7
"2001/2002",36,"2002-03-05",3,0,6,0,1,10
"2001/2002",37,"2002-03-12",2,0,3,0,2,7
"2001/2002",38,"2002-03-19",2,1,5,0,2,10
"2001/2002",39,"2002-03-26",0,0,3,0,2,5
"2001/2002",40,"2002-04-02",1,0,8,0,2,11
"2001/2002",41,"2002-04-09",1,0,4,0,3,8
"2001/2002",42,"2002-04-16",1,0,12,0,5,18
"2001/2002",43,"2002-04-23",2,1,6,0,4,13
"2001/2002",44,"2002-04-30",0,0,7,0,2,9
"2001/2002",45,"2002-05-07",2,0,15,0,5,22
"2001/2002",46,"2002-05-14",1,1,4,0,4,10
"2001/2002",47,"2002-05-21",0,0,4,0,1,5
"2001/2002",48,"2002-05-28",0,1,7,0,5,13
"2001/2002",49,"2002-06-04",0,0,0,0,2,2
"2001/2002",50,"2002-06-11",0,0,6,0,5,11
"2001/2002",51,"2002-06-18",0,0,6,0,5,11
"2001/2002",52,"2002-06-25",0,0,1,0,2,3
"2002/2003",1,"2002-07-02",0,0,2,0,5,7
"2002/2003",2,"2002-07-09",1,0,3,0,3,7
"2002/2003",3,"2002-07-16",0,0,1,0,3,4
"2002/2003",4,"2002-07-23",0,0,2,0,3,5
"2002/2003",5,"2002-07-30",0,0,5,0,1,6
"2002/2003",6,"2002-08-06",0,0,4,0,3,7
"2002/2003",7,"2002-08-13",0,0,3,0,4,7
"2002/2003",8,"2002-08-20",0,0,1,0,3,4
"2002/2003",9,"2002-08-27",1,0,4,0,4,9
"2002/2003",10,"2002-09-03",1,0,12,0,4,17
"2002/2003",11,"2002-09-10",0,0,5,0,3,8
"2002/2003",12,"2002-09-17",0,0,21,0,1,22
"2002/2003",13,"2002-09-24",0,0,16,0,2,18
"2002/2003",14,"2002-10-01",0,0,16,0,5,21
"2002/2003",15,"2002-10-08",0,0,13,0,3,16
"2002/2003",16,"2002-10-15",0,0,19,0,12,31
"2002/2003",17,"2002-10-22",0,0,16,0,9,25
"2002/2003",18,"2002-10-29",0,0,21,0,7,28
"2002/2003",19,"2002-11-05",0,0,18,0,8,26
"2002/2003",20,"2002-11-12",0,0,6,0,12,18
"2002/2003",21,"2002-11-19",0,0,11,0,16,27
"2002/2003",22,"2002-11-26",0,0,8,0,3,11
"2002/2003",23,"2002-12-03",0,0,22,0,16,38
"2002/2003",24,"2002-12-10",0,0,21,0,8,29
"2002/2003",25,"2002-12-17",0,0,18,0,3,21
"2002/2003",26,"2002-12-24",0,0,9,0,2,11
"2002/2003",27,"2003-01-01",0,0,8,0,2,10
"2002/2003",28,"2003-01-08",0,0,3,0,2,5
"2002/2003",29,"2003-01-15",0,0,5,0,1,6
"2002/2003",30,"2003-01-22",0,0,1,0,1,2
"2002/2003",31,"2003-01-29",0,0,0,0,1,1
"2002/2003",32,"2003-02-05",0,0,1,0,1,2
"2002/2003",33,"2003-02-12",0,0,1,0,1,2
"2002/2003",34,"2003-02-19",0,0,2,0,1,3
"2002/2003",35,"2003-02-26",0,0,3,0,2,5
"2002/2003",36,"2003-03-05",0,0,0,0,1,1
"2002/2003",37,"2003-03-12",0,0,1,0,3,4
"2002/2003",38,"2003-03-19",0,0,0,0,2,2
"2002/2003",39,"2003-03-26",0,0,1,0,3,4
"2002/2003",40,"2003-04-02",0,0,0,0,0,0
"2002/2003",41,"2003-04-09",0,0,0,0,0,0
"2002/2003",42,"2003-04-16",0,0,0,0,0,0
"2002/2003",43,"2003-04-23",0,0,0,0,0,0
"2002/2003",44,"2003-04-30",0,0,0,0,1,1
"2002/2003",45,"2003-05-07",0,0,1,0,0,1
"2002/2003",46,"2003-05-14",0,0,1,0,0,1
"2002/2003",47,"2003-05-21",0,0,1,0,0,1
"2002/2003",48,"2003-05-28",0,0,1,0,0,1
"2002/2003",49,"2003-06-04",0,0,1,0,1,2
"2002/2003",50,"2003-06-11",0,0,2,0,1,3
"2002/2003",51,"2003-06-18",0,0,3,0,1,4
"2002/2003",52,"2003-06-25",0,0,4,0,2,6
"2003/2004",1,"2003-07-02",0,0,1,0,1,2
"2003/2004",2,"2003-07-09",0,0,2,0,0,2
"2003/2004",3,"2003-07-16",0,0,4,0,1,5
"2003/2004",4,"2003-07-23",0,0,0,0,1,1
"2003/2004",5,"2003-07-30",0,0,1,0,0,1
"2003/2004",6,"2003-08-06",0,0,0,0,0,0
"2003/2004",7,"2003-08-13",0,0,0,0,0,0
"2003/2004",8,"2003-08-20",0,0,0,0,0,0
"2003/2004",9,"2003-08-27",0,0,0,0,0,0
"2003/2004",10,"2003-09-03",0,0,1,0,1,2
"2003/2004",11,"2003-09-10",0,0,0,0,0,0
"2003/2004",12,"2003-09-17",0,0,2,0,1,3
"2003/2004",13,"2003-09-24",0,0,0,0,0,0
"2003/2004",14,"2003-10-01",0,0,0,0,0,0
"2003/2004",15,"2003-10-08",0,0,0,0,0,0
"2003/2004",16,"2003-10-15",0,0,1,0,1,2
"2003/2004",17,"2003-10-22",0,0,1,0,1,2
"2003/2004",18,"2003-10-29",0,0,0,0,3,3
"2003/2004",19,"2003-11-05",0,0,0,0,3,3
"2003/2004",20,"2003-11-12",0,0,0,0,3,3
"2003/2004",21,"2003-11-19",0,0,1,0,0,1
"2003/2004",22,"2003-11-26",0,0,1,0,1,2
"2003/2004",23,"2003-12-03",0,0,2,0,1,3
"2003/2004",24,"2003-12-10",0,0,4,0,2,6
"2003/2004",25,"2003-12-17",0,0,2,0,3,5
"2003/2004",26,"2003-12-24",0,0,0,0,1,1
"2003/2004",27,"2004-01-01",0,0,2,0,2,4
"2003/2004",28,"2004-01-08",0,0,3,0,2,5
"2003/2004",29,"2004-01-15",0,0,4,0,4,8
"2003/2004",30,"2004-01-22",0,0,2,0,3,5
"2003/2004",31,"2004-01-29",0,0,1,0,1,2
"2003/2004",32,"2004-02-05",0,0,1,0,2,3
"2003/2004",33,"2004-02-12",0,0,1,0,2,3
"2003/2004",34,"2004-02-19",0,0,0,0,1,1
"2003/2004",35,"2004-02-26",0,0,5,0,1,6
"2003/2004",36,"2004-03-04",0,0,3,0,1,4
"2003/2004",37,"2004-03-11",0,0,1,0,0,1
"2003/2004",38,"2004-03-18",0,0,1,0,1,2
"2003/2004",39,"2004-03-25",0,0,2,0,1,3
"2003/2004",40,"2004-04-01",0,0,0,0,1,1
"2003/2004",41,"2004-04-08",0,0,5,0,3,8
"2003/2004",42,"2004-04-15",0,0,2,0,2,4
"2003/2004",43,"2004-04-22",0,0,4,0,2,6
"2003/2004",44,"2004-04-29",0,0,3,0,4,7
"2003/2004",45,"2004-05-06",0,0,3,0,2,5
"2003/2004",46,"2004-05-13",0,0,5,0,3,8
"2003/2004",47,"2004-05-20",0,0,5,0,1,6
"2003/2004",48,"2004-05-27",0,0,3,0,2,5
"2003/2004",49,"2004-06-03",0,0,2,0,4,6
"2003/2004",50,"2004-06-10",0,0,4,0,2,6
"2003/2004",51,"2004-06-17",0,0,9,0,4,13
"2003/2004",52,"2004-06-24",0,0,0,0,2,2
"2004/2005",1,"2004-07-01",0,0,6,0,4,10
"2004/2005",2,"2004-07-08",0,0,2,0,1,3
"2004/2005",3,"2004-07-15",0,0,6,0,6,12
"2004/2005",4,"2004-07-22",0,0,5,0,2,7
"2004/2005",5,"2004-07-29",0,0,5,0,1,6
"2004/2005",6,"2004-08-05",0,0,3,0,2,5
"2004/2005",7,"2004-08-12",0,0,4,0,2,6
"2004/2005",8,"2004-08-19",0,0,5,0,1,6
"2004/2005",9,"2004-08-26",0,0,4,0,2,6
"2004/2005",10,"2004-09-02",0,0,7,0,1,8
"2004/2005",11,"2004-09-09",0,0,4,0,2,6
"2004/2005",12,"2004-09-16",0,0,5,0,4,9
"2004/2005",13,"2004-09-23",0,0,7,0,5,12
"2004/2005",14,"2004-09-30",0,0,11,0,8,19
"2004/2005",15,"2004-10-07",0,0,4,0,4,8
"2004/2005",16,"2004-10-14",0,0,12,0,4,16
"2004/2005",17,"2004-10-21",0,0,15,0,6,21
"2004/2005",18,"2004-10-28",0,0,5,0,1,6
"2004/2005",19,"2004-11-04",0,0,15,0,7,22
"2004/2005",20,"2004-11-11",0,0,23,0,14,37
"2004/2005",21,"2004-11-18",0,0,28,0,5,33
"2004/2005",22,"2004-11-25",0,0,15,0,3,18
"2004/2005",23,"2004-12-02",0,0,54,0,29,83
"2004/2005",24,"2004-12-09",0,0,49,0,67,116
"2004/2005",25,"2004-12-16",0,0,29,0,3,32
"2004/2005",26,"2004-12-23",0,0,6,0,1,7
"2004/2005",27,"2005-01-01",0,0,8,0,1,9
"2004/2005",28,"2005-01-08",0,0,9,0,1,10
"2004/2005",29,"2005-01-15",0,0,2,0,3,5
"2004/2005",30,"2005-01-22",0,0,4,0,4,8
"2004/2005",31,"2005-01-29",0,0,6,0,1,7
"2004/2005",32,"2005-02-05",0,0,7,0,1,8
"2004/2005",33,"2005-02-12",0,0,6,0,5,11
"2004/2005",34,"2005-02-19",0,0,5,0,1,6
"2004/2005",35,"2005-02-26",0,0,5,0,2,7
"2004/2005",36,"2005-03-05",0,0,6,0,1,7
"2004/2005",37,"2005-03-12",0,0,13,0,1,14
"2004/2005",38,"2005-03-19",0,0,6,0,1,7
"2004/2005",39,"2005-03-26",0,0,4,0,5,9
"2004/2005",40,"2005-04-02",0,0,9,0,4,13
"2004/2005",41,"2005-04-09",0,0,12,0,4,16
"2004/2005",42,"2005-04-16",0,0,2,0,5,7
"2004/2005",43,"2005-04-23",0,0,4,0,5,9
"2004/2005",44,"2005-04-30",0,0,1,0,1,2
"2004/2005",45,"2005-05-07",0,0,6,0,7,13
"2004/2005",46,"2005-05-14",0,0,4,0,4,8
"2004/2005",47,"2005-05-21",0,0,2,0,1,3
"2004/2005",48,"2005-05-28",0,0,2,0,3,5
"2004/2005",49,"2005-06-04",0,0,3,0,1,4
"2004/2005",50,"2005-06-11",0,0,6,0,2,8
"2004/2005",51,"2005-06-18",0,0,1,0,1,2
"2004/2005",52,"2005-06-25",0,0,2,0,1,3
"2005/2006",1,"2005-07-02",0,0,2,0,3,5
"2005/2006",2,"2005-07-09",0,0,4,0,3,7
"2005/2006",3,"2005-07-16",0,0,2,0,1,3
"2005/2006",4,"2005-07-23",0,0,5,0,0,5
"2005/2006",5,"2005-07-30",0,0,2,0,4,6
"2005/2006",6,"2005-08-06",0,0,4,0,1,5
"2005/2006",7,"2005-08-13",0,0,3,0,2,5
"2005/2006",8,"2005-08-20",0,0,1,0,3,4
"2005/2006",9,"2005-08-27",0,0,0,0,0,0
"2005/2006",10,"2005-09-03",0,0,0,0,0,0
"2005/2006",11,"2005-09-10",0,0,0,0,0,0
"2005/2006",12,"2005-09-17",0,0,0,0,0,0
"2005/2006",13,"2005-09-24",0,0,0,0,0,0
"2005/2006",14,"2005-10-01",0,0,1,0,1,2
"2005/2006",15,"2005-10-08",0,0,2,0,2,4
"2005/2006",16,"2005-10-15",0,0,2,0,2,4
"2005/2006",17,"2005-10-22",0,0,0,0,3,3
"2005/2006",18,"2005-10-29",0,0,1,0,2,3
"2005/2006",19,"2005-11-05",0,0,3,0,2,5
"2005/2006",20,"2005-11-12",0,0,3,0,3,6
"2005/2006",21,"2005-11-19",1,0,8,0,5,14
"2005/2006",22,"2005-11-26",0,0,1,0,2,3
"2005/2006",23,"2005-12-03",1,0,4,0,2,7
"2005/2006",24,"2005-12-10",0,0,7,0,4,11
"2005/2006",25,"2005-12-17",0,0,1,0,1,2
"2005/2006",26,"2005-12-24",0,0,2,0,4,6
"2005/2006",27,"2006-01-01",0,0,5,0,3,8
"2005/2006",28,"2006-01-08",0,0,14,0,11,25
"2005/2006",29,"2006-01-15",0,0,15,0,6,21
"2005/2006",30,"2006-01-22",0,0,6,0,4,10
"2005/2006",31,"2006-01-29",0,0,21,0,7,28
"2005/2006",32,"2006-02-05",1,0,24,0,14,39
"2005/2006",33,"2006-02-12",0,0,9,0,11,20
"2005/2006",34,"2006-02-19",0,0,18,0,6,24
"2005/2006",35,"2006-02-26",0,0,24,0,4,28
"2005/2006",36,"2006-03-05",0,0,23,0,3,26
"2005/2006",37,"2006-03-12",0,0,7,0,1,8
"2005/2006",38,"2006-03-19",0,0,6,0,3,9
"2005/2006",39,"2006-03-26",0,0,8,0,4,12
"2005/2006",40,"2006-04-02",0,0,13,0,5,18
"2005/2006",41,"2006-04-09",0,0,6,0,3,9
"2005/2006",42,"2006-04-16",0,0,7,0,2,9
"2005/2006",43,"2006-04-23",0,0,5,0,1,6
"2005/2006",44,"2006-04-30",0,0,5,0,1,6
"2005/2006",45,"2006-05-07",0,0,6,0,2,8
"2005/2006",46,"2006-05-14",0,0,4,0,1,5
"2005/2006",47,"2006-05-21",0,0,3,0,4,7
"2005/2006",48,"2006-05-28",0,0,5,0,1,6
"2005/2006",49,"2006-06-04",0,0,2,0,3,5
"2005/2006",50,"2006-06-11",0,0,1,0,2,3
"2005/2006",51,"2006-06-18",0,0,0,0,1,1
"2005/2006",52,"2006-06-25",0,0,0,0,0,0
"2006/2007",1,"2006-07-02",0,0,0,0,1,1
"2006/2007",2,"2006-07-09",0,0,1,0,1,2
"2006/2007",3,"2006-07-16",0,0,2,0,1,3
"2006/2007",4,"2006-07-23",0,0,1,0,1,2
"2006/2007",5,"2006-07-30",0,0,1,0,1,2
"2006/2007",6,"2006-08-06",0,0,1,0,1,2
"2006/2007",7,"2006-08-13",0,0,1,0,1,2
"2006/2007",8,"2006-08-20",0,0,1,0,1,2
"2006/2007",9,"2006-08-27",0,0,3,0,1,4
"2006/2007",10,"2006-09-03",0,0,0,0,0,0
"2006/2007",11,"2006-09-10",0,0,5,0,1,6
"2006/2007",12,"2006-09-17",0,0,2,0,1,3
"2006/2007",13,"2006-09-24",0,0,1,0,1,2
"2006/2007",14,"2006-10-01",0,0,4,0,2,6
"2006/2007",15,"2006-10-08",0,0,1,0,1,2
"2006/2007",16,"2006-10-15",0,0,5,0,2,7
"2006/2007",17,"2006-10-22",0,0,4,0,0,4
"2006/2007",18,"2006-10-29",0,0,3,0,3,6
"2006/2007",19,"2006-11-05",0,0,4,0,2,6
"2006/2007",20,"2006-11-12",0,0,1,0,1,2
"2006/2007",21,"2006-11-19",0,0,11,0,2,13
"2006/2007",22,"2006-11-26",0,0,8,0,2,10
"2006/2007",23,"2006-12-03",0,0,4,0,1,5
"2006/2007",24,"2006-12-10",0,0,1,0,1,2
"2006/2007",25,"2006-12-17",0,0,0,0,0,0
"2006/2007",26,"2006-12-24",0,0,0,0,1,1
"2006/2007",27,"2007-01-01",0,0,0,0,0,0
"2006/2007",28,"2007-01-08",0,0,11,0,3,14
"2006/2007",29,"2007-01-15",0,0,5,0,1,6
"2006/2007",30,"2007-01-22",0,0,9,0,1,10
"2006/2007",31,"2007-01-29",0,0,4,0,1,5
"2006/2007",32,"2007-02-05",0,0,11,0,1,12
"2006/2007",33,"2007-02-12",0,0,8,0,1,9
"2006/2007",34,"2007-02-19",0,0,4,0,1,5
"2006/2007",35,"2007-02-26",0,0,9,0,2,11
"2006/2007",36,"2007-03-05",0,0,1,0,1,2
"2006/2007",37,"2007-03-12",0,0,6,0,0,6
"2006/2007",38,"2007-03-19",0,0,5,0,2,7
"2006/2007",39,"2007-03-26",0,0,5,0,1,6
"2006/2007",40,"2007-04-02",0,0,3,0,2,5
"2006/2007",41,"2007-04-09",0,0,4,0,5,9
"2006/2007",42,"2007-04-16",0,0,4,0,1,5
"2006/2007",43,"2007-04-23",0,0,5,0,3,8
"2006/2007",44,"2007-04-30",0,0,2,0,1,3
"2006/2007",45,"2007-05-07",0,0,3,0,1,4
"2006/2007",46,"2007-05-14",0,0,4,0,7,11
"2006/2007",47,"2007-05-21",0,0,4,0,1,5
"2006/2007",48,"2007-05-28",0,0,6,0,2,8
"2006/2007",49,"2007-06-04",0,0,3,0,1,4
"2006/2007",50,"2007-06-11",0,0,2,0,1,3
"2006/2007",51,"2007-06-18",0,0,0,0,1,1
"2006/2007",52,"2007-06-25",0,0,2,0,0,2
"2007/2008",1,"2007-07-02",0,0,1,0,2,3
"2007/2008",2,"2007-07-09",0,0,3,0,1,4
"2007/2008",3,"2007-07-16",0,0,0,0,1,1
"2007/2008",4,"2007-07-23",0,0,5,0,3,8
"2007/2008",5,"2007-07-30",0,0,3,0,2,5
"2007/2008",6,"2007-08-06",0,0,1,0,2,3
"2007/2008",7,"2007-08-13",0,0,1,0,1,2
"2007/2008",8,"2007-08-20",0,0,4,0,3,7
"2007/2008",9,"2007-08-27",0,0,0,0,1,1
"2007/2008",10,"2007-09-03",0,0,5,0,1,6
"2007/2008",11,"2007-09-10",0,0,7,0,0,7
"2007/2008",12,"2007-09-17",0,0,5,0,0,5
"2007/2008",13,"2007-09-24",0,0,2,0,0,2
"2007/2008",14,"2007-10-01",0,0,5,0,1,6
"2007/2008",15,"2007-10-08",0,0,6,0,5,11
"2007/2008",16,"2007-10-15",0,0,5,0,1,6
"2007/2008",17,"2007-10-22",0,0,2,0,1,3
"2007/2008",18,"2007-10-29",0,0,11,0,0,11
"2007/2008",19,"2007-11-05",0,0,10,0,1,11
"2007/2008",20,"2007-11-12",0,0,4,0,1,5
"2007/2008",21,"2007-11-19",0,0,3,0,1,4
"2007/2008",22,"2007-11-26",0,0,8,0,1,9
"2007/2008",23,"2007-12-03",0,0,20,0,3,23
"2007/2008",24,"2007-12-10",0,0,26,0,2,28
"2007/2008",25,"2007-12-17",0,0,24,0,2,26
"2007/2008",26,"2007-12-24",0,0,6,0,1,7
"2007/2008",27,"2008-01-01",0,0,22,0,7,29
"2007/2008",28,"2008-01-08",0,0,46,0,12,58
"2007/2008",29,"2008-01-15",0,0,21,0,5,26
"2007/2008",30,"2008-01-22",0,0,32,0,6,38
"2007/2008",31,"2008-01-29",0,0,31,0,4,35
"2007/2008",32,"2008-02-05",0,0,34,0,3,37
"2007/2008",33,"2008-02-12",0,0,18,0,2,20
"2007/2008",34,"2008-02-19",0,0,25,1,3,29
"2007/2008",35,"2008-02-26",0,0,20,0,5,25
"2007/2008",36,"2008-03-04",0,0,18,1,4,23
"2007/2008",37,"2008-03-11",0,0,8,0,1,9
"2007/2008",38,"2008-03-18",0,0,2,0,1,3
"2007/2008",39,"2008-03-25",0,0,4,0,2,6
"2007/2008",40,"2008-04-01",0,0,5,0,1,6
"2007/2008",41,"2008-04-08",0,0,2,1,0,3
"2007/2008",42,"2008-04-15",0,0,0,0,1,1
"2007/2008",43,"2008-04-22",0,0,2,0,1,3
"2007/2008",44,"2008-04-29",0,0,0,0,1,1
"2007/2008",45,"2008-05-06",0,0,1,0,0,1
"2007/2008",46,"2008-05-13",0,0,0,0,0,0
"2007/2008",47,"2008-05-20",0,0,0,0,2,2
"2007/2008",48,"2008-05-27",0,0,1,0,0,1
"2007/2008",49,"2008-06-03",0,0,0,0,1,1
"2007/2008",50,"2008-06-10",0,0,0,0,0,0
"2007/2008",51,"2008-06-17",0,0,0,0,0,0
"2007/2008",52,"2008-06-24",0,0,0,1,0,1
"2008/2009",1,"2008-07-01",0,0,0,0,0,0
"2008/2009",2,"2008-07-08",0,0,1,0,2,3
"2008/2009",3,"2008-07-15",0,0,0,1,2,3
"2008/2009",4,"2008-07-22",0,0,0,0,1,1
"2008/2009",5,"2008-07-29",0,0,2,1,2,5
"2008/2009",6,"2008-08-05",0,0,0,0,2,2
"2008/2009",7,"2008-08-12",0,0,1,2,2,5
"2008/2009",8,"2008-08-19",0,0,0,4,1,5
"2008/2009",9,"2008-08-26",0,0,1,2,2,5
"2008/2009",10,"2008-09-02",0,0,0,7,2,9
"2008/2009",11,"2008-09-09",0,0,3,11,3,17
"2008/2009",12,"2008-09-16",0,0,1,14,4,19
"2008/2009",13,"2008-09-23",0,0,4,15,6,25
"2008/2009",14,"2008-09-30",0,0,1,30,14,45
"2008/2009",15,"2008-10-07",0,0,1,23,10,34
"2008/2009",16,"2008-10-14",0,0,0,43,20,63
"2008/2009",17,"2008-10-21",0,0,2,37,5,44
"2008/2009",18,"2008-10-28",0,0,2,41,7,50
"2008/2009",19,"2008-11-04",0,0,0,23,12,35
"2008/2009",20,"2008-11-11",0,0,0,14,2,16
"2008/2009",21,"2008-11-18",0,0,0,13,3,16
"2008/2009",22,"2008-11-25",0,0,0,10,3,13
"2008/2009",23,"2008-12-02",0,0,0,4,5,9
"2008/2009",24,"2008-12-09",0,0,0,13,2,15
"2008/2009",25,"2008-12-16",0,0,0,3,1,4
"2008/2009",26,"2008-12-23",0,0,0,0,0,0
"2008/2009",27,"2009-01-01",0,0,0,1,0,1
"2008/2009",28,"2009-01-08",0,0,0,9,1,10
"2008/2009",29,"2009-01-15",0,0,0,10,1,11
"2008/2009",30,"2009-01-22",0,0,0,23,6,29
"2008/2009",31,"2009-01-29",0,0,0,30,5,35
"2008/2009",32,"2009-02-05",0,0,0,24,6,30
"2008/2009",33,"2009-02-12",0,0,0,18,2,20
"2008/2009",34,"2009-02-19",0,0,0,16,5,21
"2008/2009",35,"2009-02-26",0,0,0,9,3,12
"2008/2009",36,"2009-03-05",0,0,0,3,6,9
"2008/2009",37,"2009-03-12",0,0,0,8,3,11
"2008/2009",38,"2009-03-19",0,0,0,9,0,9
"2008/2009",39,"2009-03-26",0,0,0,4,1,5
"2008/2009",40,"2009-04-02",0,0,1,6,4,11
"2008/2009",41,"2009-04-09",0,0,0,2,1,3
"2008/2009",42,"2009-04-16",0,0,1,4,0,5
"2008/2009",43,"2009-04-23",0,0,0,3,2,5
"2008/2009",44,"2009-04-30",0,0,0,2,2,4
"2008/2009",45,"2009-05-07",0,0,0,4,0,4
"2008/2009",46,"2009-05-14",0,0,0,0,1,1
"2008/2009",47,"2009-05-21",0,0,0,0,0,0
"2008/2009",48,"2009-05-28",0,0,0,1,1,2
"2008/2009",49,"2009-06-04",0,0,0,1,2,3
"2008/2009",50,"2009-06-11",0,0,0,2,1,3
"2008/2009",51,"2009-06-18",0,0,0,3,2,5
"2008/2009",52,"2009-06-25",0,0,0,1,1,2
