Year,Week,Cases
1928,1,17
1928,2,49
1928,3,58
1928,4,26
1928,5,39
1928,6,32
1928,7,42
1928,8,37
1928,9,22
1928,10,37
1928,11,39
1928,12,36
1928,13,23
1928,14,24
1928,15,45
1928,16,24
1928,17,27
1928,18,12
1928,19,18
1928,20,29
1928,21,13
1928,22,44
1928,23,97
1928,24,29
1928,25,45
1928,26,24
1928,27,14
1928,28,37
1928,29,23
1928,30,15
1928,31,14
1928,32,18
1928,33,3
1928,34,7
1928,35,8
1928,36,8
1928,37,4
1928,38,6
1928,39,18
1928,40,-
1928,41,14
1928,42,9
1928,43,11
1928,44,15
1928,45,5
1928,46,26
1928,47,22
1928,48,15
1928,49,21
1928,50,13
1928,51,46
1928,52,25
1929,1,16
1929,2,26
1929,3,26
1929,4,14
1929,5,37
1929,6,35
1929,7,43
1929,8,16
1929,9,44
1929,10,58
1929,11,47
1929,12,84
1929,13,66
1929,14,37
1929,15,63
1929,16,69
1929,17,77
1929,18,43
1929,19,44
1929,20,60
1929,21,52
1929,22,50
1929,23,65
1929,24,94
1929,25,52
1929,26,67
1929,27,80
1929,28,42
1929,29,41
1929,30,61
1929,31,37
1929,32,30
1929,33,27
1929,34,29
1929,35,5
1929,36,23
1929,37,12
1929,38,19
1929,39,16
1929,40,18
1929,41,25
1929,42,44
1929,43,38
1929,44,81
1929,45,60
1929,46,64
1929,47,79
1929,48,36
1929,49,78
1929,50,99
1929,51,35
1929,52,57
1930,1,64
1930,2,70
1930,3,90
1930,4,64
1930,5,76
1930,6,100
1930,7,93
1930,8,62
1930,9,60
1930,10,63
1930,11,39
1930,12,79
1930,13,123
1930,14,72
1930,15,62
1930,16,88
1930,17,52
1930,18,65
1930,19,54
1930,20,71
1930,21,83
1930,22,33
1930,23,39
1930,24,41
1930,25,75
1930,26,53
1930,27,42
1930,28,40
1930,29,28
1930,30,34
1930,31,25
1930,32,17
1930,33,20
1930,34,8
1930,35,7
1930,36,12
1930,37,0
1930,38,7
1930,39,1
1930,40,2
1930,41,2
1930,42,22
1930,43,17
1930,44,13
1930,45,15
1930,46,54
1930,47,41
1930,48,50
1930,49,29
1930,50,34
1930,51,45
1930,52,12
1931,1,18
1931,2,48
1931,3,88
1931,4,53
1931,5,48
1931,6,31
1931,7,26
1931,8,32
1931,9,19
1931,10,22
1931,11,20
1931,12,18
1931,13,9
1931,14,31
1931,15,14
1931,16,39
1931,17,12
1931,18,14
1931,19,27
1931,20,26
1931,21,11
1931,22,17
1931,23,30
1931,24,18
1931,25,13
1931,26,13
1931,27,14
1931,28,5
1931,29,6
1931,30,6
1931,31,5
1931,32,7
1931,33,2
1931,34,7
1931,35,4
1931,36,6
1931,37,1
1931,38,1
1931,39,1
1931,40,2
1931,41,1
1931,42,0
1931,43,19
1931,44,2
1931,45,28
1931,46,4
1931,47,24
1931,48,13
1931,49,14
1931,50,14
1931,51,7
1931,52,4
1932,1,20
1932,2,5
1932,3,16
1932,4,3
1932,5,2
1932,6,2
1932,7,3
1932,8,3
1932,9,12
1932,10,8
1932,11,13
1932,12,6
1932,13,10
1932,14,13
1932,15,6
1932,16,3
1932,17,2
1932,18,10
1932,19,14
1932,20,4
1932,21,9
1932,22,9
1932,23,9
1932,24,3
1932,25,5
1932,26,4
1932,27,3
1932,28,2
1932,29,0
1932,30,1
1932,31,0
1932,32,0
1932,33,3
1932,34,0
1932,35,1
1932,36,1
1932,37,0
1932,38,0
1932,39,0
1932,40,1
1932,41,0
1932,42,0
1932,43,0
1932,44,0
1932,45,0
1932,46,11
1932,47,0
1932,48,3
1932,49,2
1932,50,0
1932,51,1
1932,52,0
1933,1,1
1933,2,0
1933,3,0
1933,4,0
1933,5,3
1933,6,0
1933,7,0
1933,8,3
1933,9,1
1933,10,2
1933,11,1
1933,12,2
1933,13,1
1933,14,2
1933,15,2
1933,16,0
1933,17,1
1933,18,0
1933,19,0
1933,20,0
1933,21,0
1933,22,0
1933,23,0
1933,24,0
1933,25,2
1933,26,5
1933,27,1
1933,28,1
1933,29,0
1933,30,1
1933,31,2
1933,32,1
1933,33,0
1933,34,0
1933,35,0
1933,36,0
1933,37,1
1933,38,0
1933,39,0
1933,40,0
1933,41,0
1933,42,1
1933,43,0
1933,44,0
1933,45,0
1933,46,0
1933,47,0
1933,48,3
1933,49,4
1933,50,0
1933,51,1
1933,52,1
1934,1,0
1934,2,1
1934,3,0
1934,4,0
1934,5,0
1934,6,0
1934,7,4
1934,8,1
1934,9,9
1934,10,6
1934,11,11
1934,12,3
1934,13,0
1934,14,0
1934,15,0
1934,16,1
1934,17,3
1934,18,1
1934,19,0
1934,20,1
1934,21,1
1934,22,1
1934,23,2
1934,24,0
1934,25,0
1934,26,0
1934,27,0
1934,28,0
1934,29,0
1934,30,0
1934,31,0
1934,32,0
1934,33,1
1934,34,1
1934,35,2
1934,36,0
1934,37,0
1934,38,0
1934,39,0
1934,40,0
1934,41,0
1934,42,0
1934,43,1
1934,44,0
1934,45,0
1934,46,0
1934,47,0
1934,48,1
1934,49,0
1934,50,0
1934,51,0
1934,52,1
1935,1,0
1935,2,1
1935,3,0
1935,4,1
1935,5,0
1935,6,0
1935,7,1
1935,8,0
1935,9,0
1935,10,0
1935,11,0
1935,12,0
1935,13,0
1935,14,0
1935,15,0
1935,16,0
1935,17,0
1935,18,1
1935,19,0
1935,20,0
1935,21,0
1935,22,0
1935,23,0
1935,24,0
1935,25,0
1935,26,0
1935,27,2
1935,28,1
1935,29,0
1935,30,0
1935,31,0
1935,32,0
1935,33,0
1935,34,0
1935,35,7
1935,36,0
1935,37,0
1935,38,0
1935,39,0
1935,40,1
1935,41,0
1935,42,0
1935,43,0
1935,44,0
1935,45,0
1935,46,0
1935,47,0
1935,48,0
1935,49,1
1935,50,0
1935,51,0
1935,52,3
1936,1,0
1936,2,0
1936,3,1
1936,4,0
1936,5,0
1936,6,1
1936,7,3
1936,8,0
1936,9,0
1936,10,1
1936,11,2
1936,12,2
1936,13,1
1936,14,0
1936,15,0
1936,16,1
1936,17,1
1936,18,1
1936,19,0
1936,20,2
1936,21,0
1936,22,0
1936,23,0
1936,24,0
1936,25,0
1936,26,1
1936,27,0
1936,28,0
1936,29,0
1936,30,1
1936,31,0
1936,32,0
1936,33,1
1936,34,2
1936,35,0
1936,36,0
1936,37,0
1936,38,4
1936,39,-
1936,40,0
1936,41,2
1936,42,0
1936,43,0
1936,44,0
1936,45,1
1936,46,1
1936,47,1
1936,48,0
1936,49,0
1936,50,2
1936,51,-
1936,52,0
1937,1,0
1937,2,1
1937,3,0
1937,4,0
1937,5,1
1937,6,3
1937,7,0
1937,8,3
1937,9,1
1937,10,1
1937,11,0
1937,12,20
1937,13,13
1937,14,17
1937,15,13
1937,16,1
1937,17,16
1937,18,3
1937,19,9
1937,20,9
1937,21,0
1937,22,2
1937,23,12
1937,24,2
1937,25,1
1937,26,0
1937,27,0
1937,28,0
1937,29,7
1937,30,1
1937,31,0
1937,32,1
1937,33,1
1937,34,0
1937,35,0
1937,36,0
1937,37,2
1937,38,2
1937,39,0
1937,40,1
1937,41,0
1937,42,0
1937,43,0
1937,44,1
1937,45,1
1937,46,4
1937,47,0
1937,48,2
1937,49,0
1937,50,0
1937,51,2
1937,52,0
1938,1,0
1938,2,4
1938,3,4
1938,4,4
1938,5,19
1938,6,6
1938,7,15
1938,8,11
1938,9,16
1938,10,6
1938,11,19
1938,12,12
1938,13,9
1938,14,9
1938,15,13
1938,16,6
1938,17,5
1938,18,5
1938,19,0
1938,20,7
1938,21,7
1938,22,1
1938,23,1
1938,24,1
1938,25,2
1938,26,0
1938,27,2
1938,28,2
1938,29,4
1938,30,1
1938,31,1
1938,32,3
1938,33,3
1938,34,1
1938,35,1
1938,36,1
1938,37,1
1938,38,1
1938,39,1
1938,40,1
1938,41,0
1938,42,1
1938,43,7
1938,44,5
1938,45,6
1938,46,9
1938,47,2
1938,48,6
1938,49,3
1938,50,2
1938,51,6
1938,52,4
1939,1,2
1939,2,3
1939,3,4
1939,4,3
1939,5,4
1939,6,25
1939,7,20
1939,8,47
1939,9,13
1939,10,14
1939,11,17
1939,12,12
1939,13,18
1939,14,16
1939,15,3
1939,16,11
1939,17,9
1939,18,9
1939,19,13
1939,20,6
1939,21,10
1939,22,7
1939,23,18
1939,24,2
1939,25,2
1939,26,2
1939,27,1
1939,28,1
1939,29,3
1939,30,19
1939,31,4
1939,32,3
1939,33,1
1939,34,0
1939,35,0
1939,36,1
1939,37,0
1939,38,0
1939,39,1
1939,40,0
1939,41,0
1939,42,1
1939,43,7
1939,44,0
1939,45,15
1939,46,12
1939,47,3
1939,48,7
1939,49,3
1939,50,2
1939,51,0
1939,52,1
1940,1,2
1940,2,1
1940,3,0
1940,4,1
1940,5,2
1940,6,14
1940,7,0
1940,8,0
1940,9,4
1940,10,0
1940,11,9
1940,12,7
1940,13,9
1940,14,8
1940,15,2
1940,16,9
1940,17,9
1940,18,7
1940,19,2
1940,20,1
1940,21,0
1940,22,0
1940,23,2
1940,24,0
1940,25,2
1940,26,0
1940,27,0
1940,28,1
1940,29,2
1940,30,0
1940,31,3
1940,32,1
1940,33,1
1940,34,1
1940,35,2
1940,36,0
1940,37,0
1940,38,0
1940,39,-
1940,40,0
1940,41,0
1940,42,0
1940,43,0
1940,44,3
1940,45,0
1940,46,3
1940,47,9
1940,48,7
1940,49,5
1940,50,6
1940,51,3
1940,52,4
1941,1,8
1941,2,4
1941,3,5
1941,4,4
1941,5,3
1941,6,8
1941,7,3
1941,8,-
1941,9,0
1941,10,0
1941,11,3
1941,12,2
1941,13,0
1941,14,0
1941,15,0
1941,16,7
1941,17,0
1941,18,6
1941,19,5
1941,20,0
1941,21,3
1941,22,4
1941,23,5
1941,24,1
1941,25,0
1941,26,1
1941,27,2
1941,28,4
1941,29,1
1941,30,0
1941,31,2
1941,32,0
1941,33,1
1941,34,1
1941,35,0
1941,36,0
1941,37,2
1941,38,0
1941,39,1
1941,40,0
1941,41,1
1941,42,0
1941,43,3
1941,44,1
1941,45,1
1941,46,0
1941,47,1
1941,48,0
1941,49,1
1941,50,1
1941,51,1
1941,52,0
1942,1,4
1942,2,0
1942,3,0
1942,4,2
1942,5,0
1942,6,2
1942,7,4
1942,8,0
1942,9,0
1942,10,0
1942,11,2
1942,12,1
1942,13,0
1942,14,0
1942,15,2
1942,16,0
1942,17,0
1942,18,1
1942,19,0
1942,20,1
1942,21,4
1942,22,0
1942,23,0
1942,24,0
1942,25,0
1942,26,0
1942,27,0
1942,28,1
1942,29,1
1942,30,0
1942,31,0
1942,32,0
1942,33,1
1942,34,0
1942,35,0
1942,36,0
1942,37,0
1942,38,0
1942,39,0
1942,40,0
1942,41,0
1942,42,0
1942,43,0
1942,44,0
1942,45,0
1942,46,0
1942,47,1
1942,48,0
1942,49,0
1942,50,1
1942,51,0
1942,52,0
1943,1,0
1943,2,0
1943,3,0
1943,4,1
1943,5,0
1943,6,0
1943,7,0
1943,8,0
1943,9,0
1943,10,0
1943,11,0
1943,12,0
1943,13,0
1943,14,0
1943,15,1
1943,16,0
1943,17,0
1943,18,0
1943,19,1
1943,20,0
1943,21,0
1943,22,0
1943,23,0
1943,24,1
1943,25,0
1943,26,0
1943,27,0
1943,28,1
1943,29,2
1943,30,0
1943,31,0
1943,32,0
1943,33,0
1943,34,0
1943,35,0
1943,36,0
1943,37,0
1943,38,0
1943,39,0
1943,40,0
1943,41,1
1943,42,0
1943,43,0
1943,44,1
1943,45,1
1943,46,0
1943,47,1
1943,48,1
1943,49,0
1943,50,1
1943,51,0
1943,52,0
1944,1,0
1944,2,0
1944,3,0
1944,4,0
1944,5,0
1944,6,0
1944,7,0
1944,8,1
1944,9,0
1944,10,0
1944,11,0
1944,12,0
1944,13,0
1944,14,0
1944,15,0
1944,16,0
1944,17,1
1944,18,0
1944,19,0
1944,20,0
1944,21,0
1944,22,0
1944,23,0
1944,24,0
1944,25,0
1944,26,0
1944,27,2
1944,28,1
1944,29,2
1944,30,0
1944,31,0
1944,32,1
1944,33,0
1944,34,0
1944,35,0
1944,36,0
1944,37,0
1944,38,0
1944,39,-
1944,40,0
1944,41,0
1944,42,0
1944,43,0
1944,44,2
1944,45,0
1944,46,0
1944,47,0
1944,48,1
1944,49,2
1944,50,0
1944,51,0
1944,52,0
1945,1,0
1945,2,0
1945,3,0
1945,4,0
1945,5,3
1945,6,0
1945,7,1
1945,8,1
1945,9,0
1945,10,1
1945,11,0
1945,12,0
1945,13,2
1945,14,0
1945,15,0
1945,16,1
1945,17,1
1945,18,0
1945,19,0
1945,20,0
1945,21,0
1945,22,0
1945,23,0
1945,24,0
1945,25,0
1945,26,0
1945,27,0
1945,28,1
1945,29,1
1945,30,3
1945,31,0
1945,32,0
1945,33,0
1945,34,2
1945,35,0
1945,36,0
1945,37,0
1945,38,0
1945,39,0
1945,40,0
1945,41,0
1945,42,0
1945,43,0
1945,44,0
1945,45,0
1945,46,0
1945,47,1
1945,48,0
1945,49,1
1945,50,0
1945,51,0
1945,52,0
