Month,Birth,Marriage
2000. 01,61229,30120
2000. 02,56305,26187
2000. 03,59448,30418
2000. 04,52672,28179
2000. 05,52058,35330
2000. 06,46338,29029
2000. 07,47992,20488
2000. 08,50163,18780
2000. 09,52430,15844
2000. 10,53882,26823
2000. 11,51886,33343
2000. 12,50098,37549
2001. 01,56549,27280
2001. 02,49594,24243
2001. 03,54169,28002
2001. 04,47950,29065
2001. 05,46377,33809
2001. 06,41440,26465
2001. 07,42005,20576
2001. 08,43407,19804
2001. 09,45216,17151
2001. 10,44383,21780
2001. 11,42261,31674
2001. 12,41544,38558
2002. 01,48474,28647
2002. 02,43264,20914
2002. 03,47435,26449
2002. 04,43061,26328
2002. 05,41569,31987
2002. 06,37210,24828
2002. 07,39923,21637
2002. 08,39330,19486
2002. 09,39199,16024
2002. 10,39058,23124
2002. 11,37475,30115
2002. 12,36113,35338
2003. 01,45107,25006
2003. 02,41632,22547
2003. 03,45693,25306
2003. 04,42755,25700
2003. 05,40796,29706
2003. 06,36553,24495
2003. 07,37626,22196
2003. 08,37697,19080
2003. 09,41241,16405
2003. 10,42861,25989
2003. 11,40280,28904
2003. 12,38302,37169
2004. 01,45512,25205
2004. 02,40763,23693
2004. 03,45130,27464
2004. 04,40279,22460
2004. 05,38604,27031
2004. 06,35762,27224
2004. 07,37680,20731
2004. 08,37965,20979
2004. 09,38886,16571
2004. 10,40459,23367
2004. 11,37016,30205
2004. 12,34705,43668
2005. 01,41096,24214
2005. 02,35590,20633
2005. 03,40772,26928
2005. 04,36340,25348
2005. 05,35672,29505
2005. 06,33442,27173
2005. 07,34362,21804
2005. 08,35677,23344
2005. 09,37085,18991
2005. 10,36946,23867
2005. 11,35391,31693
2005. 12,32658,40804
2006. 01,40429,26287
2006. 02,37308,22319
2006. 03,40977,27425
2006. 04,37408,24364
2006. 05,37474,31420
2006. 06,35037,29038
2006. 07,34876,22414
2006. 08,37159,25182
2006. 09,38151,19207
2006. 10,38209,23163
2006. 11,36707,33716
2006. 12,34418,46099
2007. 01,43490,32882
2007. 02,39264,27806
2007. 03,43325,27313
2007. 04,40048,26573
2007. 05,39653,31827
2007. 06,36854,27575
2007. 07,39228,24817
2007. 08,43726,25920
2007. 09,44520,18284
2007. 10,45322,27323
2007. 11,41451,33472
2007. 12,36308,39767
2008. 01,46747,29503
2008. 02,39495,24486
2008. 03,41318,28355
2008. 04,38783,26536
2008. 05,37598,30865
2008. 06,35035,27220
2008. 07,38042,26098
2008. 08,37787,23659
2008. 09,40037,20129
2008. 10,39886,25543
2008. 11,36473,26834
2008. 12,34691,38487
2009. 01,44149,28372
2009. 02,36681,23255
2009. 03,39834,25817
2009. 04,37539,24734
2009. 05,35864,28413
2009. 06,34122,25857
2009. 07,35779,22841
2009. 08,36169,23188
2009. 09,38187,20873
2009. 10,37737,23346
2009. 11,35172,26855
2009. 12,33616,36208
2010. 01,42936,26325
2010. 02,36639,24218
2010. 03,40975,27514
2010. 04,38336,27195
2010. 05,37005,28341
2010. 06,36028,28370
2010. 07,37106,24643
2010. 08,38392,26157
2010. 09,42294,21179
2010. 10,43625,24224
2010. 11,41318,30189
2010. 12,35517,37749
2011. 01,47577,26786
2011. 02,38160,23606
2011. 03,43260,27701
2011. 04,40376,25682
2011. 05,38958,30084
2011. 06,36766,27882
2011. 07,38168,23475
2011. 08,39360,26885
2011. 09,38963,21070
2011. 10,38359,25892
2011. 11,37328,31468
2011. 12,33990,38556
2012. 01,44984,29197
2012. 02,40609,25611
2012. 03,43209,28134
2012. 04,40094,27792
2012. 05,39388,27632
2012. 06,38170,26009
2012. 07,40127,24417
2012. 08,41455,24358
2012. 09,41735,18974
2012. 10,41889,27120
2012. 11,38579,30499
2012. 12,34311,37330
2013. 01,44247,28811
2013. 02,36645,24060
2013. 03,38540,23574
2013. 04,36738,24381
2013. 05,35626,30836
2013. 06,33154,26215
2013. 07,36188,27256
2013. 08,36400,25646
2013. 09,37063,19236
2013. 10,36055,27081
2013. 11,33827,28426
2013. 12,31972,37285
2014. 01,41229,26940
2014. 02,36754,25043
2014. 03,38021,24988
2014. 04,37183,23841
2014. 05,35749,28324
2014. 06,34171,24789
2014. 07,36390,24967
2014. 08,36539,22294
2014. 09,37879,19326
2014. 10,36450,27118
2014. 11,32379,23602
2014. 12,32691,34275
2015. 01,41914,28396
2015. 02,35709,20912
2015. 03,40329,27197
2015. 04,38072,24669
2015. 05,36534,27946
2015. 06,35520,26737
2015. 07,36612,23571
2015. 08,35207,21821
2015. 09,36444,19001
2015. 10,36702,23237
2015. 11,33467,26047
2015. 12,31910,33294
2016. 01,39405,23869
2016. 02,34830,22474
2016. 03,38131,24991
2016. 04,35147,22844
2016. 05,34341,25489
2016. 06,32849,24285
2016. 07,33920,21154
2016. 08,33897,23017
2016. 09,34375,17763
2016. 10,31592,21951
2016. 11,30366,25385
2016. 12,27390,28413
2017. 01 p),35100,23900
2017. 02 p),30600,21500
2017. 03 p),33200,23300
2017. 04 p),30400,20100
2017. 05 p),30300,26900
2017. 06 p),28900,22300
2017. 07 p),29400,19000
2017. 08 p),30200,20100
2017. 09 p),30100,17900
2017. 10 p),27900,17400
2017. 11 p),27000,24600