date,NASDAQ,CrudeOil
2001-01-01,2656.86,29.59
2001-02-01,2449.57,29.61
2001-03-01,1986.66,27.25
2001-04-01,1933.93,27.49
2001-05-01,2181.13,28.63
2001-06-01,2112.05,27.60
2001-07-01,2033.98,26.43
2001-08-01,1929.71,27.37
2001-09-01,1573.31,26.20
2001-10-01,1656.43,22.17
2001-11-01,1870.06,19.64
2001-12-01,1977.71,19.39
2002-01-01,1976.77,19.72
2002-02-01,1799.72,20.72
2002-03-01,1863.05,24.53
2002-04-01,1758.80,26.18
2002-05-01,1660.31,27.04
2002-06-01,1505.49,25.52
2002-07-01,1346.09,26.97
2002-08-01,1327.36,28.39
2002-09-01,1251.07,29.66
2002-10-01,1241.91,28.84
2002-11-01,1409.15,26.35
2002-12-01,1387.15,29.46
2003-01-01,1389.56,32.95
2003-02-01,1313.26,35.83
2003-03-01,1348.50,33.51
2003-04-01,1409.83,28.17
2003-05-01,1524.18,28.11
2003-06-01,1631.75,30.66
2003-07-01,1716.85,30.76
2003-08-01,1724.82,31.57
2003-09-01,1856.22,28.31
2003-10-01,1907.89,30.34
2003-11-01,1939.25,31.11
2003-12-01,1956.98,32.13
2004-01-01,2098.00,34.31
2004-02-01,2048.36,34.69
2004-03-01,1979.48,36.74
2004-04-01,2021.32,36.75
2004-05-01,1930.09,40.28
2004-06-01,2000.98,38.03
2004-07-01,1912.42,40.78
2004-08-01,1821.54,44.90
2004-09-01,1884.73,45.94
2004-10-01,1938.25,53.28
2004-11-01,2062.87,48.47
2004-12-01,2149.53,43.15
2005-01-01,2071.87,46.84
2005-02-01,2065.74,48.15
2005-03-01,2030.43,54.19
2005-04-01,1957.49,52.98
2005-05-01,2005.22,49.83
2005-06-01,2074.02,56.35
2005-07-01,2145.14,59.00
2005-08-01,2157.85,64.99
2005-09-01,2144.61,65.59
2005-10-01,2087.09,62.26
2005-11-01,2202.84,58.32
2005-12-01,2246.09,59.41
2006-01-01,2289.99,65.49
2006-02-01,2273.67,61.63
2006-03-01,2300.26,62.69
2006-04-01,2338.68,69.44
2006-05-01,2245.28,70.84
2006-06-01,2137.41,70.95
2006-07-01,2086.21,74.41
2006-08-01,2117.77,73.04
2006-09-01,2221.94,63.80
2006-10-01,2330.17,58.89
2006-11-01,2408.70,59.08
2006-12-01,2431.91,61.96
2007-01-01,2453.19,54.51
2007-02-01,2479.86,59.28
2007-03-01,2401.49,60.44
2007-04-01,2499.57,63.98
2007-05-01,2562.14,63.46
2007-06-01,2595.40,67.49
2007-07-01,2655.08,74.12
2007-08-01,2539.50,72.36
2007-09-01,2634.47,79.92
2007-10-01,2780.42,85.80
2007-11-01,2662.80,94.77
2007-12-01,2661.55,91.69