month,number
1900-01,9.4
1900-02,13.6
1900-03,8.6
1900-04,16
1900-05,15.2
1900-06,12.1
1900-07,8.3
1900-08,4.3
1900-09,8.3
1900-10,12.9
1900-11,4.5
1900-12,0.3
1901-01,0.2
1901-02,2.4
1901-03,4.5
1901-04,0
1901-05,10.2
1901-06,5.8
1901-07,0.7
1901-08,1
1901-09,0.6
1901-10,3.7
1901-11,3.8
1901-12,0
1902-01,5.2
1902-02,0
1902-03,12.4
1902-04,0
1902-05,2.8
1902-06,1.4
1902-07,0.9
1902-08,2.3
1902-09,7.6
1902-10,16.3
1902-11,10.3
1902-12,1.1
1903-01,8.3
1903-02,17
1903-03,13.5
1903-04,26.1
1903-05,14.6
1903-06,16.3
1903-07,27.9
1903-08,28.8
1903-09,11.1
1903-10,38.9
1903-11,44.5
1903-12,45.6
1904-01,31.6
1904-02,24.5
1904-03,37.2
1904-04,43
1904-05,39.5
1904-06,41.9
1904-07,50.6
1904-08,58.2
1904-09,30.1
1904-10,54.2
1904-11,38
1904-12,54.6
1905-01,54.8
1905-02,85.8
1905-03,56.5
1905-04,39.3
1905-05,48
1905-06,49
1905-07,73
1905-08,58.8
1905-09,55
1905-10,78.7
1905-11,107.2
1905-12,55.5
1906-01,45.5
1906-02,31.3
1906-03,64.5
1906-04,55.3
1906-05,57.7
1906-06,63.2
1906-07,103.6
1906-08,47.7
1906-09,56.1
1906-10,17.8
1906-11,38.9
1906-12,64.7
1907-01,76.4
1907-02,108.2
1907-03,60.7
1907-04,52.6
1907-05,42.9
1907-06,40.4
1907-07,49.7
1907-08,54.3
1907-09,85
1907-10,65.4
1907-11,61.5
1907-12,47.3
1908-01,39.2
1908-02,33.9
1908-03,28.7
1908-04,57.6
1908-05,40.8
1908-06,48.1
1908-07,39.5
1908-08,90.5
1908-09,86.9
1908-10,32.3
1908-11,45.5
1908-12,39.5
1909-01,56.7
1909-02,46.6
1909-03,66.3
1909-04,32.3
1909-05,36
1909-06,22.6
1909-07,35.8
1909-08,23.1
1909-09,38.8
1909-10,58.4
1909-11,55.8
1909-12,54.2
1910-01,26.4
1910-02,31.5
1910-03,21.4
1910-04,8.4
1910-05,22.2
1910-06,12.3
1910-07,14.1
1910-08,11.5
1910-09,26.2
1910-10,38.3
1910-11,4.9
1910-12,5.8
1911-01,3.4
1911-02,9
1911-03,7.8
1911-04,16.5
1911-05,9
1911-06,2.2
1911-07,3.5
1911-08,4
1911-09,4
1911-10,2.6
1911-11,4.2
1911-12,2.2
1912-01,0.3
1912-02,0
1912-03,4.9
1912-04,4.5
1912-05,4.4
1912-06,4.1
1912-07,3
1912-08,0.3
1912-09,9.5
1912-10,4.6
1912-11,1.1
1912-12,6.4
1913-01,2.3
1913-02,2.9
1913-03,0.5
1913-04,0.9
1913-05,0
1913-06,0
1913-07,1.7
1913-08,0.2
1913-09,1.2
1913-10,3.1
1913-11,0.7
1913-12,3.8
1914-01,2.8
1914-02,2.6
1914-03,3.1
1914-04,17.3
1914-05,5.2
1914-06,11.4
1914-07,5.4
1914-08,7.7
1914-09,12.7
1914-10,8.2
1914-11,16.4
1914-12,22.3
1915-01,23
1915-02,42.3
1915-03,38.8
1915-04,41.3
1915-05,33
1915-06,68.8
1915-07,71.6
1915-08,69.6
1915-09,49.5
1915-10,53.5
1915-11,42.5
1915-12,34.5
1916-01,45.3
1916-02,55.4
1916-03,67
1916-04,71.8
1916-05,74.5
1916-06,67.7
1916-07,53.5
1916-08,35.2
1916-09,45.1
1916-10,50.7
1916-11,65.6
1916-12,53
1917-01,74.7
1917-02,71.9
1917-03,94.8
1917-04,74.7
1917-05,114.1
1917-06,114.9
1917-07,119.8
1917-08,154.5
1917-09,129.4
1917-10,72.2
1917-11,96.4
1917-12,129.3
1918-01,96
1918-02,65.3
1918-03,72.2
1918-04,80.5
1918-05,76.7
1918-06,59.4
1918-07,107.6
1918-08,101.7
1918-09,79.9
1918-10,85
1918-11,83.4
1918-12,59.2
1919-01,48.1
1919-02,79.5
1919-03,66.5
1919-04,51.8
1919-05,88.1
1919-06,111.2
1919-07,64.7
1919-08,69
1919-09,54.7
1919-10,52.8
1919-11,42
1919-12,34.9
1920-01,51.1
1920-02,53.9
1920-03,70.2
1920-04,14.8
1920-05,33.3
1920-06,38.7
1920-07,27.5
1920-08,19.2
1920-09,36.3
1920-10,49.6
1920-11,27.2
1920-12,29.9
1921-01,31.5
1921-02,28.3
1921-03,26.7
1921-04,32.4
1921-05,22.2
1921-06,33.7
1921-07,41.9
1921-08,22.8
1921-09,17.8
1921-10,18.2
1921-11,17.8
1921-12,20.3
1922-01,11.8
1922-02,26.4
1922-03,54.7
1922-04,11
1922-05,8
1922-06,5.8
1922-07,10.9
1922-08,6.5
1922-09,4.7
1922-10,6.2
1922-11,7.4
1922-12,17.5
1923-01,4.5
1923-02,1.5
1923-03,3.3
1923-04,6.1
1923-05,3.2
1923-06,9.1
1923-07,3.5
1923-08,0.5
1923-09,13.2
1923-10,11.6
1923-11,10
1923-12,2.8
1924-01,0.5
1924-02,5.1
1924-03,1.8
1924-04,11.3
1924-05,20.8
1924-06,24
1924-07,28.1
1924-08,19.3
1924-09,25.1
1924-10,25.6
1924-11,22.5
1924-12,16.5
1925-01,5.5
1925-02,23.2
1925-03,18
1925-04,31.7
1925-05,42.8
1925-06,47.5
1925-07,38.5
1925-08,37.9
1925-09,60.2
1925-10,69.2
1925-11,58.6
1925-12,98.6
1926-01,71.8
1926-02,70
1926-03,62.5
1926-04,38.5
1926-05,64.3
1926-06,73.5
1926-07,52.3
1926-08,61.6
1926-09,60.8
1926-10,71.5
1926-11,60.5
1926-12,79.4
1927-01,81.6
1927-02,93
1927-03,69.6
1927-04,93.5
1927-05,79.1
1927-06,59.1
1927-07,54.9
1927-08,53.8
1927-09,68.4
1927-10,63.1
1927-11,67.2
1927-12,45.2
1928-01,83.5
1928-02,73.5
1928-03,85.4
1928-04,80.6
1928-05,76.9
1928-06,91.4
1928-07,98
1928-08,83.8
1928-09,89.7
1928-10,61.4
1928-11,50.3
1928-12,59
1929-01,68.9
1929-02,64.1
1929-03,50.2
1929-04,52.8
1929-05,58.2
1929-06,71.9
1929-07,70.2
1929-08,65.8
1929-09,34.4
1929-10,54
1929-11,81.1
1929-12,108
1930-01,65.3
1930-02,49.2
1930-03,35
1930-04,38.2
1930-05,36.8
1930-06,28.8
1930-07,21.9
1930-08,24.9
1930-09,32.1
1930-10,34.4
1930-11,35.6
1930-12,25.8
1931-01,14.6
1931-02,43.1
1931-03,30
1931-04,31.2
1931-05,24.6
1931-06,15.3
1931-07,17.4
1931-08,13
1931-09,19
1931-10,10
1931-11,18.7
1931-12,17.8
1932-01,12.1
1932-02,10.6
1932-03,11.2
1932-04,11.2
1932-05,17.9
1932-06,22.2
1932-07,9.6
1932-08,6.8
1932-09,4
1932-10,8.9
1932-11,8.2
1932-12,11
1933-01,12.3
1933-02,22.2
1933-03,10.1
1933-04,2.9
1933-05,3.2
1933-06,5.2
1933-07,2.8
1933-08,0.2
1933-09,5.1
1933-10,3
1933-11,0.6
1933-12,0.3
1934-01,3.4
1934-02,7.8
1934-03,4.3
1934-04,11.3
1934-05,19.7
1934-06,6.7
1934-07,9.3
1934-08,8.3
1934-09,4
1934-10,5.7
1934-11,8.7
1934-12,15.4
1935-01,18.9
1935-02,20.5
1935-03,23.1
1935-04,12.2
1935-05,27.3
1935-06,45.7
1935-07,33.9
1935-08,30.1
1935-09,42.1
1935-10,53.2
1935-11,64.2
1935-12,61.5
1936-01,62.8
1936-02,74.3
1936-03,77.1
1936-04,74.9
1936-05,54.6
1936-06,70
1936-07,52.3
1936-08,87
1936-09,76
1936-10,89
1936-11,115.4
1936-12,123.4
1937-01,132.5
1937-02,128.5
1937-03,83.9
1937-04,109.3
1937-05,116.7
1937-06,130.3
1937-07,145.1
1937-08,137.7
1937-09,100.7
1937-10,124.9
1937-11,74.4
1937-12,88.8
1938-01,98.4
1938-02,119.2
1938-03,86.5
1938-04,101
1938-05,127.4
1938-06,97.5
1938-07,165.3
1938-08,115.7
1938-09,89.6
1938-10,99.1
1938-11,122.2
1938-12,92.7
1939-01,80.3
1939-02,77.4
1939-03,64.6
1939-04,109.1
1939-05,118.3
1939-06,101
1939-07,97.6
1939-08,105.8
1939-09,112.6
1939-10,88.1
1939-11,68.1
1939-12,42.1
1940-01,50.5
1940-02,59.4
1940-03,83.3
1940-04,60.7
1940-05,54.4
1940-06,83.9
1940-07,67.5
1940-08,105.5
1940-09,66.5
1940-10,55
1940-11,58.4
1940-12,68.3
1941-01,45.6
1941-02,44.5
1941-03,46.4
1941-04,32.8
1941-05,29.5
1941-06,59.8
1941-07,66.9
1941-08,60
1941-09,65.9
1941-10,46.3
1941-11,38.3
1941-12,33.7
1942-01,35.6
1942-02,52.8
1942-03,54.2
1942-04,60.7
1942-05,25
1942-06,11.4
1942-07,17.7
1942-08,20.2
1942-09,17.2
1942-10,19.2
1942-11,30.7
1942-12,22.5
1943-01,12.4
1943-02,28.9
1943-03,27.4
1943-04,26.1
1943-05,14.1
1943-06,7.6
1943-07,13.2
1943-08,19.4
1943-09,10
1943-10,7.8
1943-11,10.2
1943-12,18.8
1944-01,3.7
1944-02,0.5
1944-03,11
1944-04,0.3
1944-05,2.5
1944-06,5
1944-07,5
1944-08,16.7
1944-09,14.3
1944-10,16.9
1944-11,10.8
1944-12,28.4
1945-01,18.5
1945-02,12.7
1945-03,21.5
1945-04,32
1945-05,30.6
1945-06,36.2
1945-07,42.6
1945-08,25.9
1945-09,34.9
1945-10,68.8
1945-11,46
1945-12,27.4
1946-01,47.6
1946-02,86.2
1946-03,76.6
1946-04,75.7
1946-05,84.9
1946-06,73.5
1946-07,116.2
1946-08,107.2
1946-09,94.4
1946-10,102.3
1946-11,123.8
1946-12,121.7
1947-01,115.7
1947-02,113.4
1947-03,129.8
1947-04,149.8
1947-05,201.3
1947-06,163.9
1947-07,157.9
1947-08,188.8
1947-09,169.4
1947-10,163.6
1947-11,128
1947-12,116.5
1948-01,108.5
1948-02,86.1
1948-03,94.8
1948-04,189.7
1948-05,174
1948-06,167.8
1948-07,142.2
1948-08,157.9
1948-09,143.3
1948-10,136.3
1948-11,95.8
1948-12,138
1949-01,119.1
1949-02,182.3
1949-03,157.5
1949-04,147
1949-05,106.2
1949-06,121.7
1949-07,125.8
1949-08,123.8
1949-09,145.3
1949-10,131.6
1949-11,143.5
1949-12,117.6
1950-01,101.6
1950-02,94.8
1950-03,109.7
1950-04,113.4
1950-05,106.2
1950-06,83.6
1950-07,91
1950-08,85.2
1950-09,51.3
1950-10,61.4
1950-11,54.8
1950-12,54.1
1951-01,59.9
1951-02,59.9
1951-03,59.9
1951-04,92.9
1951-05,108.5
1951-06,100.6
1951-07,61.5
1951-08,61
1951-09,83.1
1951-10,51.6
1951-11,52.4
1951-12,45.8
1952-01,40.7
1952-02,22.7
1952-03,22
1952-04,29.1
1952-05,23.4
1952-06,36.4
1952-07,39.3
1952-08,54.9
1952-09,28.2
1952-10,23.8
1952-11,22.1
1952-12,34.3
1953-01,26.5
1953-02,3.9
1953-03,10
1953-04,27.8
1953-05,12.5
1953-06,21.8
1953-07,8.6
1953-08,23.5
1953-09,19.3
1953-10,8.2
1953-11,1.6
1953-12,2.5
1954-01,0.2
1954-02,0.5
1954-03,10.9
1954-04,1.8
1954-05,0.8
1954-06,0.2
1954-07,4.8
1954-08,8.4
1954-09,1.5
1954-10,7
1954-11,9.2
1954-12,7.6
1955-01,23.1
1955-02,20.8
1955-03,4.9
1955-04,11.3
1955-05,28.9
1955-06,31.7
1955-07,26.7
1955-08,40.7
1955-09,42.7
1955-10,58.5
1955-11,89.2
1955-12,76.9
1956-01,73.6
1956-02,124
1956-03,118.4
1956-04,110.7
1956-05,136.6
1956-06,116.6
1956-07,129.1
1956-08,169.6
1956-09,173.2
1956-10,155.3
1956-11,201.3
1956-12,192.1
1957-01,165
1957-02,130.2
1957-03,157.4
1957-04,175.2
1957-05,164.6
1957-06,200.7
1957-07,187.2
1957-08,158
1957-09,235.8
1957-10,253.8
1957-11,210.9
1957-12,239.4
1958-01,202.5
1958-02,164.9
1958-03,190.7
1958-04,196
1958-05,175.3
1958-06,171.5
1958-07,191.4
1958-08,200.2
1958-09,201.2
1958-10,181.5
1958-11,152.3
1958-12,187.6
1959-01,217.4
1959-02,143.1
1959-03,185.7
1959-04,163.3
1959-05,172
1959-06,168.7
1959-07,149.6
1959-08,199.6
1959-09,145.2
1959-10,111.4
1959-11,124
1959-12,125
1960-01,146.3
1960-02,106
1960-03,102.2
1960-04,122
1960-05,119.6
1960-06,110.2
1960-07,121.7
1960-08,134.1
1960-09,127.2
1960-10,82.8
1960-11,89.6
1960-12,85.6
1961-01,57.9
1961-02,46.1
1961-03,53
1961-04,61.4
1961-05,51
1961-06,77.4
1961-07,70.2
1961-08,55.9
1961-09,63.6
1961-10,37.7
1961-11,32.6
1961-12,40
1962-01,38.7
1962-02,50.3
1962-03,45.6
1962-04,46.4
1962-05,43.7
1962-06,42
1962-07,21.8
1962-08,21.8
1962-09,51.3
1962-10,39.5
1962-11,26.9
1962-12,23.2
1963-01,19.8
1963-02,24.4
1963-03,17.1
1963-04,29.3
1963-05,43
1963-06,35.9
1963-07,19.6
1963-08,33.2
1963-09,38.8
1963-10,35.3
1963-11,23.4
1963-12,14.9
1964-01,15.3
1964-02,17.7
1964-03,16.5
1964-04,8.6
1964-05,9.5
1964-06,9.1
1964-07,3.1
1964-08,9.3
1964-09,4.7
1964-10,6.1
1964-11,7.4
1964-12,15.1
1965-01,17.5
1965-02,14.2
1965-03,11.7
1965-04,6.8
1965-05,24.1
1965-06,15.9
1965-07,11.9
1965-08,8.9
1965-09,16.8
1965-10,20.1
1965-11,15.8
1965-12,17
1966-01,28.2
1966-02,24.4
1966-03,25.3
1966-04,48.7
1966-05,45.3
1966-06,47.7
1966-07,56.7
1966-08,51.2
1966-09,50.2
1966-10,57.2
1966-11,57.2
1966-12,70.4
1967-01,110.9
1967-02,93.6
1967-03,111.8
1967-04,69.5
1967-05,86.5
1967-06,67.3
1967-07,91.5
1967-08,107.2
1967-09,76.8
1967-10,88.2
1967-11,94.3
1967-12,126.4
1968-01,121.8
1968-02,111.9
1968-03,92.2
1968-04,81.2
1968-05,127.2
1968-06,110.3
1968-07,96.1
1968-08,109.3
1968-09,117.2
1968-10,107.7
1968-11,86
1968-12,109.8
1969-01,104.4
1969-02,120.5
1969-03,135.8
1969-04,106.8
1969-05,120
1969-06,106
1969-07,96.8
1969-08,98
1969-09,91.3
1969-10,95.7
1969-11,93.5
1969-12,97.9
1970-01,111.5
1970-02,127.8
1970-03,102.9
1970-04,109.5
1970-05,127.5
1970-06,106.8
1970-07,112.5
1970-08,93
1970-09,99.5
1970-10,86.6
1970-11,95.2
1970-12,83.5
1971-01,91.3
1971-02,79
1971-03,60.7
1971-04,71.8
1971-05,57.5
1971-06,49.8
1971-07,81
1971-08,61.4
1971-09,50.2
1971-10,51.7
1971-11,63.2
1971-12,82.2
1972-01,61.5
1972-02,88.4
1972-03,80.1
1972-04,63.2
1972-05,80.5
1972-06,88
1972-07,76.5
1972-08,76.8
1972-09,64
1972-10,61.3
1972-11,41.6
1972-12,45.3
1973-01,43.4
1973-02,42.9
1973-03,46
1973-04,57.7
1973-05,42.4
1973-06,39.5
1973-07,23.1
1973-08,25.6
1973-09,59.3
1973-10,30.7
1973-11,23.9
1973-12,23.3
1974-01,27.6
1974-02,26
1974-03,21.3
1974-04,40.3
1974-05,39.5
1974-06,36
1974-07,55.8
1974-08,33.6
1974-09,40.2
1974-10,47.1
1974-11,25
1974-12,20.5
1975-01,18.9
1975-02,11.5
1975-03,11.5
1975-04,5.1
1975-05,9
1975-06,11.4
1975-07,28.2
1975-08,39.7
1975-09,13.9
1975-10,9.1
1975-11,19.4
1975-12,7.8
1976-01,8.1
1976-02,4.3
1976-03,21.9
1976-04,18.8
1976-05,12.4
1976-06,12.2
1976-07,1.9
1976-08,16.4
1976-09,13.5
1976-10,20.6
1976-11,5.2
1976-12,15.3
1977-01,16.4
1977-02,23.1
1977-03,8.7
1977-04,12.9
1977-05,18.6
1977-06,38.5
1977-07,21.4
1977-08,30.1
1977-09,44
1977-10,43.8
1977-11,29.1
1977-12,43.2
1978-01,51.9
1978-02,93.6
1978-03,76.5
1978-04,99.7
1978-05,82.7
1978-06,95.1
1978-07,70.4
1978-08,58.1
1978-09,138.2
1978-10,125.1
1978-11,97.9
1978-12,122.7
1979-01,166.6
1979-02,137.5
1979-03,138
1979-04,101.5
1979-05,134.4
1979-06,149.5
1979-07,159.4
1979-08,142.2
1979-09,188.4
1979-10,186.2
1979-11,183.3
1979-12,176.3
1980-01,159.6
1980-02,155
1980-03,126.2
1980-04,164.1
1980-05,179.9
1980-06,157.3
1980-07,136.3
1980-08,135.4
1980-09,155
1980-10,164.7
1980-11,147.9
1980-12,174.4
1981-01,114
1981-02,141.3
1981-03,135.5
1981-04,156.4
1981-05,127.5
1981-06,90
1981-07,143.8
1981-08,158.7
1981-09,167.3
1981-10,162.4
1981-11,137.5
1981-12,150.1
1982-01,111.2
1982-02,163.6
1982-03,153.8
1982-04,122
1982-05,82.2
1982-06,110.4
1982-07,106.1
1982-08,107.6
1982-09,118.8
1982-10,94.7
1982-11,98.1
1982-12,127
1983-01,84.3
1983-02,51
1983-03,66.5
1983-04,80.7
1983-05,99.2
1983-06,91.1
1983-07,82.2
1983-08,71.8
1983-09,50.3
1983-10,55.8
1983-11,33.3
1983-12,33.4